Strain,Accession,Date,Region,Country,Division,Authors,Journal,Title,Url,Num Date,Db,Raw Date
NIID123/2016,Lc219720,2016-11-22,Southeast Asia,Vietnam,Vietnam,Tajima Et Al,Unpublished,Complete Nucleotide Sequence Of Zika Virus Isolated From A Patient Returned From Viet Nam To Japan In 2016,https://www.ncbi.nlm.nih.gov/nuccore/LC219720,2016.89,Genbank,2016-11-22
ZKA_16_097,Kx813683,2016-08-27,Southeast Asia,Singapore,Singapore,Ng Et Al,Unpublished,Genome Sequences Of Local Transmitted Zika Viruses In Singapore In 2016,https://www.ncbi.nlm.nih.gov/nuccore/KX813683,2016.65,Genbank,2016-08-27
SG_108,Ky241778,2016-09-06,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241778,2016.68,Genbank,2016-09-06
SG_037,Ky241707,2016-08-28,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241707,2016.66,Genbank,2016-08-28
SG_046,Ky241716,2016-08-28,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241716,2016.66,Genbank,2016-08-28
SG_027,Ky241697,2016-08-27,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241697,2016.65,Genbank,2016-08-27
SG_109,Ky241779,2016-09-06,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241779,2016.68,Genbank,2016-09-06
SG_111,Ky241781,2016-09-06,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241781,2016.68,Genbank,2016-09-06
SG_063,Ky241733,2016-08-28,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241733,2016.66,Genbank,2016-08-28
SG_105,Ky241775,2016-09-05,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241775,2016.68,Genbank,2016-09-05
SG_020,Ky241690,2016-09-13,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241690,2016.70,Genbank,2016-09-13
SG_016,Ky241686,2016-09-12,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241686,2016.70,Genbank,2016-09-12
SG_013,Ky241683,2016-09-08,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241683,2016.69,Genbank,2016-09-08
SG_061,Ky241731,2016-08-30,Southeast Asia,Singapore,Singapore,Ho Et Al,Lancet Infect Dis  2017  In Press,Outbreak Of Zika Virus Infection In Singapore  An Epidemiological Entomological Virological And Clinical Analysis,https://www.ncbi.nlm.nih.gov/nuccore/KY241731,2016.66,Genbank,2016-08-30
